type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
white,6.3,,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
white,6.3,,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
white,6.3,,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
white,6.3,,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
white,6.3,,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
white,6.3,,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
red,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
red,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
red,11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
red,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
